Data as of 2021-01-03
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,4 Week Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETFdb Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETFdb Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
IEV,iShares Europe ETF,Equity,"$1,624,190,000","227,688",$47.92,false,false,false,false,0.34%,2.08%,4.07%,4.07%,10.13%,35.12%,$0.0,$0.0,$0.0,-$130.780255,"-$1,407.768035","-$1,467.679554",Europe Equities,2000-07-25,0.59%,$0.84,2020-12-14,$0.35,1.73%,Semi-Annually,4.23%,17.37,0.91,245.56%,11.60%,20.20%,19.28%,iShares,366,19.21%,24.63%,47.87%,35%,15%,1099,$46.52,$48.57,$47.70,$48.19,61.56,A-,C+,B+,A-,A-,B,A,7.75,50.66%,91.98%,145.47,14.23%,5.90%
USRT,iShares Core U.S. REIT ETF,Real Estate,"$1,580,930,000","195,417",$48.41,false,false,false,false,1.34%,1.34%,-8.07%,-8.07%,10.40%,24.11%,$2.452875,$0.060875,$0.0,$113.33751,"$1,313.55746","$1,576.37556",Real Estate,2007-05-04,0.08%,$1.51,2020-12-14,$0.40,3.08%,Quarterly,5.04%,26.38,0.83,320.80%,16.72%,22.74%,22.49%,iShares,154,38.51%,47.52%,80.60%,20%,39%,1099,$47.09,$48.62,$47.90,$48.71,56.89,C+,A,B+,B+,A-,A-,A,3.06,25.29%,3.89%,117.74,0.96%,15.82%
DXJ,WisdomTree Japan Hedged Equity Fund,Equity,"$1,614,690,000","490,348",$54.42,false,false,true,true,1.93%,3.04%,3.93%,3.93%,-0.83%,21.82%,$0.0,-$31.84704,$0.0,-$851.47444,"-$6,822.736585","-$12,491.149013",Japan Equities,2006-06-16,0.48%,$2.04,2020-12-21,$0.79,3.77%,Quarterly,4.09%,19.22,0.88,55.47%,9.19%,19.13%,16.27%,WisdomTree,401,30.87%,39.39%,67.70%,35%,15%,1099,$52.48,$54.54,$54.26,$54.54,64.85,A,C+,B-,B-,B-,A,B,6.46,62.93%,68.73%,84.17,11.00%,8.87%
AOR,iShares Core Growth Allocation ETF,Multi-Asset,"$1,593,870,000","122,437",$52.20,false,false,false,false,0.66%,1.81%,11.42%,11.42%,24.76%,49.39%,$0.0,$33.75722,$0.0,-$6.33096,$229.028795,$275.525802,Diversified Portfolio,2008-11-04,0.25%,$0.99,2020-12-24,$0.33,1.89%,Quarterly,3.24%,21.87,0.59,115.75%,5.52%,9.85%,10.41%,iShares,9,100.02%,100.02%,100.02%,35%,15%,1099,$51.07,$52.28,$52.10,$52.29,66.23,A,A,B,B+,B+,B,B-,5.78,69.44%,47.34%,184.73,5.71%,3.58%
VOOV,Vanguard S&P 500 Value ETF,Equity,"$1,584,510,000","84,135",$123.69,false,false,true,false,1.45%,1.71%,1.23%,1.23%,21.24%,62.46%,$3.053,$49.4145,$0.0,$356.63625,$594.687,$982.8,Large Cap Blend Equities,2010-09-09,0.10%,$3.03,2020-12-22,$0.93,2.47%,Quarterly,9.95%,20.4,1.01,248.88%,10.14%,18.54%,17.09%,Vanguard,389,20.33%,26.59%,50.98%,35%,15%,1099,$121.01,$123.38,$122.73,$124.25,62.3,B+,A,A-,B-,A-,B+,B+,6.08,83.31%,56.79%,262.52,12.90%,4.29%
ROBO,ROBO Global Robotics and Automation Index ETF,Equity,"$1,682,450,000","143,806",$60.89,false,false,false,false,0.59%,6.60%,45.25%,45.25%,48.76%,151.83%,$0.118793,$32.412405,$0.0,-$77.609925,-$656.201874,$909.641537,Global Equities,2013-10-22,0.95%,$0.12,2020-12-28,$0.12,0.21%,Annually,7.11%,31.12,1.29,155.06%,10.43%,17.69%,18.16%,Exchange Traded Concepts,88,16.18%,23.80%,66.69%,35%,15%,1099,$56.68,$61.76,$60.63,$61.12,75.4,A,C,B+,C+,B-,B,N/A,5.96,80.27%,52.65%,37.92,5.99%,5.91%
VSGX,Vanguard ESG International Stock ETF,Equity,"$1,570,730,000","218,265",$59.27,false,false,false,false,1.54%,3.09%,13.00%,13.00%,N/A,N/A,$0.0,$0.0,$0.0,$733.935,"$1,288.141","$1,288.141",Foreign Large Cap Equities,2018-09-20,0.17%,$0.99,2020-12-18,$0.34,1.66%,Quarterly,5.22%,19.1,0.88,29.02%,9.31%,15.06%,14.61%,Vanguard,"4,476",13.04%,16.04%,28.32%,39%,20%,1099,$57.04,$59.49,$59.07,$59.53,66.17,A-,A,A-,A-,A,B-,N/A,6.7,25.52%,75.66%,119.34,0.48%,7.04%
ILF,iShares Latin American 40 ETF,Equity,"$1,569,520,000","2,050,098",$29.35,false,false,false,false,0.51%,4.96%,-11.72%,-11.72%,-6.44%,56.20%,$0.0,$195.65325,$0.0,$353.6041,$498.798475,"$1,088.42306",Latin America Equities,2001-10-25,0.48%,$0.55,2020-12-14,$0.28,1.87%,Semi-Annually,4.55%,14.32,1.12,91.15%,21.88%,30.68%,30.27%,iShares,43,55.63%,70.29%,100.01%,35%,15%,1099,$27.92,$29.92,$29.24,$29.52,65.51,A,A,B,A-,A+,B+,B,3.87,46.43%,10.13%,285.41,3.11%,3.18%
RWO,SPDR DJ Wilshire Global Real Estate ETF,Real Estate,"$1,561,750,000","145,534",$44.46,false,false,false,false,1.51%,2.28%,-10.44%,-10.44%,1.96%,13.12%,$0.0,-$26.407094,$0.0,-$279.041919,-$985.710524,-$282.890155,Global Real Estate,2008-05-13,0.50%,$2.36,2020-12-21,$0.52,5.32%,Quarterly,4.93%,27.85,0.85,261.67%,13.91%,21.17%,20.15%,State Street SPDR,260,24.06%,31.31%,58.87%,35%,15%,1099,$42.94,$44.55,$44.15,$44.62,61.13,A-,B+,A,B,B+,B,A-,3.96,21.91%,11.03%,98.03,0.00%,19.20%
IBDM,iShares iBonds Dec 2021 Corporate ETF,Bond,"$1,568,230,000","206,074",$24.91,false,false,false,false,0.00%,-0.01%,2.11%,2.11%,8.38%,14.38%,$0.0,$19.91378,$0.0,$174.1329,"$1,033.701665","$1,521.246585",Money Market,2015-03-10,0.10%,$0.57,2020-12-17,$0.04,2.31%,Monthly,0.33%,N/A,0.04,42.04%,0.72%,0.75%,0.66%,iShares,421,14.19%,17.30%,34.91%,39%,20%,1099,$24.89,$24.91,N/A,N/A,53.73,A-,A-,C+,A,A-,B-,A-,6.94,85.61%,80.66%,186.07,7.01%,3.08%
FLCB,Franklin Liberty U.S. Core Bond ETF,Bond,"$1,572,370,000","112,243",$26.15,false,false,false,false,-0.48%,-0.13%,6.96%,6.96%,N/A,N/A,$0.0,$14.459,$0.0,$591.4525,"$1,416.943","$1,416.943",Total Bond Market,2019-09-17,0.15%,$0.68,2020-12-30,$0.08,2.59%,N/A,0.58%,N/A,0.06,17.37%,2.69%,3.29%,3.10%,Franklin Templeton Investments,228,36.36%,43.19%,66.56%,39%,20%,1099,$26.13,$26.32,$26.13,$26.17,47.77,N/A,A-,N/A,N/A,N/A,C+,N/A,6.32,67.03%,64.52%,350.59,5.07%,0.64%
CLOU,Global X Cloud Computing ETF,Equity,"$1,551,010,000","1,360,100",$27.90,false,false,false,false,-2.48%,8.27%,77.18%,77.18%,N/A,N/A,$10.025383,$32.931913,$0.0,$602.301702,"$1,035.700698","$1,035.700698",Technology Equities,2019-04-12,0.68%,$0.01,2019-12-30,$0.01,0.03%,Annually,3.98%,83.41,0.98,97.87%,24.28%,30.39%,31.73%,Global X,37,43.26%,61.95%,100.00%,39%,20%,1099,$25.05,$29.45,$27.74,$28.09,60.79,A,C+,A,A-,B+,C+,N/A,5.27,60.54%,35.08%,43.77,0.00%,3.42%
DES,WisdomTree US SmallCap Dividend ETF,Equity,"$1,547,740,000","436,849",$26.60,false,false,true,false,0.30%,5.06%,-4.27%,-4.27%,0.33%,41.25%,-$3.92118,-$7.918875,$0.0,-$367.857905,-$210.27797,$251.453651,Small Cap Blend Equities,2006-06-16,0.38%,$0.73,2020-12-30,$0.03,2.76%,Monthly,3.09%,20.83,1.23,23.70%,16.25%,27.48%,24.46%,WisdomTree,588,11.81%,15.85%,35.06%,35%,15%,1099,$25.54,$26.90,$26.38,$26.74,62.74,A,B+,B,A-,A-,A,B+,3.45,2.50%,6.37%,213.04,3.98%,5.86%
BSCN,Invesco BulletShares 2023 Corporate Bond ETF,Bond,"$1,543,990,000","302,369",$21.90,false,false,false,false,0.14%,0.25%,5.28%,5.28%,13.80%,25.35%,$9.83355,$75.38625,$0.0,$527.2653,"$1,183.97415","$1,444.288614",Corporate Bonds,2014-09-17,0.10%,$0.52,2020-12-21,$0.04,2.37%,Monthly,0.59%,N/A,0.10,61.39%,0.62%,0.75%,0.95%,Invesco,343,11.53%,15.38%,34.14%,35%,15%,1099,$21.80,$21.89,N/A,N/A,74.32,A-,B+,B,B+,B+,B,B-,6.02,60.97%,54.72%,182.58,7.48%,2.47%
JKH,iShares Morningstar Mid-Cap Growth ETF,Equity,"$1,539,950,000","28,426",$382.48,false,false,true,false,-1.47%,4.93%,45.64%,45.64%,90.35%,151.61%,$19.14742,$47.27724,$0.0,$622.740775,$791.81419,$769.892334,Large Cap Growth Equities,2004-06-28,0.30%,$0.35,2020-12-14,$0.04,0.09%,Quarterly,45.47%,51.55,1.10,27.56%,14.10%,21.29%,21.31%,iShares,168,13.90%,20.15%,51.20%,35%,15%,1099,$360.69,$393.86,$380.35,$384.09,63.41,B,B,A,B,B+,C+,B,5.44,84.51%,38.37%,29.13,1.11%,7.06%
MDYV,SPDR S&P 400 Mid Cap Value ETF,Equity,"$1,533,130,000","239,477",$55.50,false,false,true,false,0.00%,4.11%,3.68%,3.68%,14.92%,59.44%,$2.747547,$22.644454,$0.0,$64.425815,$591.527796,"$1,203.40794",Small Cap Value Equities,2005-11-15,0.15%,$1.25,2020-12-21,$0.24,2.26%,Quarterly,6.21%,17.04,1.29,31.46%,14.51%,25.86%,23.50%,State Street SPDR,308,7.90%,11.47%,30.78%,35%,15%,1099,$53.55,$55.94,$55.06,$55.84,63.88,A,A,A,B,A,A-,A-,4.47,38.40%,22.30%,213.8,2.87%,7.93%
LIT,Global X Lithium ETF,Equity,"$1,905,830,000","670,100",$61.89,false,false,false,false,4.47%,18.18%,127.52%,127.52%,67.71%,235.63%,$98.020793,$317.175327,$0.0,$741.093463,$483.824651,"$1,372.038846",Large Cap Blend Equities,2010-07-22,0.75%,$0.44,2020-06-29,$0.16,0.81%,Annually,10.24%,52.21,1.30,128.19%,30.56%,32.43%,31.37%,Global X,42,58.03%,76.86%,99.98%,35%,15%,1099,$51.54,$62.65,$61.43,$62.67,70.87,A,B-,C,B-,C+,C+,C,4.69,21.74%,25.96%,210.49,0.00%,22.86%
IYT,iShares Transportation Average ETF,Equity,"$1,534,810,000","210,198",$220.54,false,false,false,false,-0.10%,-0.65%,14.20%,14.20%,19.52%,72.91%,$32.888835,$133.369205,$0.0,$774.34123,$474.901295,$442.388048,Transportation Equities,2003-10-10,0.42%,$2.05,2020-12-14,$0.38,0.93%,Quarterly,27.99%,20.48,1.21,73.59%,12.26%,22.33%,19.99%,iShares,22,79.31%,92.43%,99.98%,35%,15%,1099,$218.02,$225.68,$219.48,$221.23,54.58,A+,A,A,A,A+,A,A-,6.94,90.32%,80.63%,386.33,0.00%,0.05%
TNA,Direxion Daily Small Cap Bull 3X Shares,Equity,"$1,486,330,000","9,564,104",$66.32,false,3x,false,false,-4.40%,21.46%,-7.83%,-7.83%,-4.77%,102.95%,-$21.2433,-$31.04745,$0.0,-$30.176399,-$75.934099,-$947.021899,Leveraged Equities,2008-11-05,1.14%,$0.02,2020-12-22,$0.01,0.03%,Quarterly,18.44%,N/A,3.84,295.61%,48.23%,67.02%,65.27%,Direxion,5,100.00%,100.00%,100.00%,35%,15%,1099,$55.24,$71.86,$65.04,$67.28,65.29,A,C,C,C+,B-,B-,A-,4.78,20.69%,27.21%,117.84,2.28%,3.74%
VRP,Invesco Variable Rate Preferred ETF,Multi-Asset,"$1,521,390,000","189,483",$25.95,false,false,false,false,0.50%,0.93%,5.11%,5.11%,17.18%,37.13%,$0.0,$2.5879,$0.0,-$192.8386,-$360.8864,"$1,036.530265",Preferred Stock/Convertible Bonds,2014-05-01,0.50%,$1.18,2020-12-21,$0.09,4.56%,Monthly,1.75%,N/A,0.48,311.09%,4.53%,6.08%,5.78%,Invesco,257,16.76%,22.32%,48.46%,35%,15%,1099,$25.64,$26.01,$25.91,$26.01,64.5,N/A,B,N/A,N/A,N/A,B,N/A,7.14,90.88%,84.37%,174.04,5.07%,0.50%
PTLC,Pacer Trendpilot US Large Cap ETF,Multi-Asset,"$1,907,610,000","264,794",$32.72,false,false,true,false,1.43%,2.49%,-1.15%,-1.15%,17.96%,48.22%,$0.0,-$30.653,$0.0,-$873.0305,"$1,098.9005","$1,396.4255",Large Cap Blend Equities,2015-06-12,0.60%,$0.72,2020-12-21,$0.35,2.20%,Annually,2.54%,27.2,0.70,174.42%,8.11%,15.66%,17.43%,Pacer Financial,508,27.30%,32.62%,53.82%,39%,20%,1099,$31.71,$32.66,$32.54,$32.83,65.23,A,B,B-,B,B+,C+,A,5.16,40.35%,33.06%,144.61,7.07%,3.88%
XSLV,Invesco S&P SmallCap Low Volatility ETF,Equity,"$1,486,080,000","330,649",$40.74,false,false,true,false,0.94%,6.02%,-17.40%,-17.40%,-4.41%,34.25%,-$8.07912,-$68.15396,$0.0,-$305.95319,$750.87356,"$1,557.86601",Volatility Hedged Equity,2013-02-15,0.25%,$1.49,2020-12-21,$0.19,3.67%,Quarterly,5.88%,23.17,0.98,103.14%,13.05%,21.36%,19.71%,Invesco,121,11.31%,16.31%,47.57%,35%,15%,1099,$38.74,$41.07,$40.44,$40.94,66.21,A,A-,C+,B-,B,B+,C,4.4,32.12%,17.56%,68.01,4.99%,8.57%
AOM,iShares Moderate Allocation ETF,Multi-Asset,"$1,463,210,000","164,882",$43.20,false,false,false,false,0.70%,1.46%,10.02%,10.02%,22.22%,41.67%,$2.145865,$23.635905,$0.0,$119.369485,$397.09132,$634.824343,Diversified Portfolio,2008-11-04,0.25%,$0.87,2020-12-24,$0.27,2.02%,Quarterly,2.07%,21.8,0.40,81.10%,3.99%,6.56%,7.30%,iShares,9,100.00%,100.00%,100.00%,35%,15%,1099,$42.46,$43.23,$43.11,$43.26,68.22,A,A,B,A,A,B,B,5.82,67.40%,48.42%,204.12,4.80%,2.77%
TLH,iShares 10-20 Year Treasury Bond ETF,Bond,"$1,459,620,000","269,589",$159.22,false,false,false,false,0.33%,0.10%,13.77%,13.77%,25.73%,30.95%,$0.0,-$0.0815,$0.0,$408.90755,$811.65129,$857.039901,Government Bonds,2007-01-11,0.15%,$4.21,2020-12-17,$0.14,2.65%,Monthly,6.86%,N/A,-0.21,90.44%,6.82%,9.65%,8.85%,iShares,15,96.78%,100.01%,100.01%,35%,15%,1099,$157.66,$159.90,$158.85,$159.62,48.61,B-,B-,A-,B-,B-,A-,C,6.58,90.62%,72.24%,0.0,0.00%,0.00%
EWH,iShares MSCI Hong Kong ETF,Equity,"$1,432,820,000","5,312,883",$24.64,false,false,false,false,2.20%,2.74%,4.16%,4.16%,5.24%,44.94%,-$12.80937,$7.316355,$0.0,-$202.8933,-$354.72432,"-$1,081.96158",Asia Pacific Equities,1996-03-12,0.49%,$0.63,2020-12-14,$0.22,2.54%,Semi-Annually,1.49%,15.76,0.79,233.34%,12.83%,17.95%,16.61%,iShares,41,63.98%,75.63%,100.02%,35%,15%,1099,$23.57,$24.64,$24.49,$24.80,61.81,A,B+,B-,A,B+,B,C+,6.66,98.70%,74.39%,367.5,12.23%,7.30%
CWI,SPDR MSCI ACWI ex-US ETF,Equity,"$1,434,150,000","122,620",$27.65,false,false,false,false,1.21%,2.78%,9.82%,9.82%,15.38%,51.90%,-$27.73995,-$32.934168,$0.0,-$369.259696,-$168.942397,$355.091476,Foreign Large Cap Equities,2007-01-10,0.30%,$0.57,2020-12-18,$0.30,2.05%,Semi-Annually,2.40%,18.74,0.87,216.43%,9.98%,16.72%,15.75%,State Street SPDR,"1,305",12.48%,15.37%,29.61%,35%,15%,1099,$26.76,$27.82,$27.55,$27.80,64.42,A-,B+,A-,B+,A,B+,A-,6.76,28.21%,77.11%,164.38,9.63%,5.98%
IYY,iShares Dow Jones U.S. ETF,Equity,"$1,428,980,000","45,469",$94.32,false,false,false,false,0.94%,2.88%,19.85%,19.85%,48.81%,99.98%,$0.0,$4.617055,$0.0,-$72.7576,-$149.690655,-$305.343689,Large Cap Growth Equities,2000-06-12,0.20%,$1.80,2020-12-14,$0.34,1.92%,Quarterly,8.59%,24.91,1.03,202.31%,8.17%,16.04%,17.67%,iShares,"1,049",24.03%,28.73%,47.57%,35%,15%,1099,$91.41,$94.46,$93.90,$94.61,66.67,B,B+,B-,C+,B+,A-,A,5.05,31.36%,31.00%,139.79,6.50%,5.37%
FXH,First Trust Health Care AlphaDEX Fund,Equity,"$1,422,800,000","67,805",$107.78,false,false,true,false,0.03%,4.27%,28.00%,28.00%,54.41%,76.95%,-$15.98655,-$26.6278,$0.0,-$136.196,-$80.4502,"-$2,405.113202",Health & Biotech Equities,2007-05-08,0.62%,$0.00,2013-06-21,$0.01,0.00%,Semi-Annually,9.24%,22.51,0.91,72.85%,11.86%,17.67%,19.45%,First Trust,87,23.10%,32.55%,79.98%,35%,15%,1099,$103.62,$108.52,$107.07,$108.17,63.37,A,C+,A-,A-,B,C,A-,5.58,32.32%,41.78%,24.44,0.00%,12.22%
IBDN,iShares iBonds Dec 2022 Corporate ETF,Bond,"$1,424,040,000","191,317",$25.57,false,false,false,false,0.08%,0.15%,3.47%,3.47%,10.98%,19.06%,$0.0,$20.41879,$0.0,$308.13661,"$1,003.67511","$1,360.879615",Corporate Bonds,2015-03-10,0.10%,$0.59,2020-12-17,$0.04,2.32%,Monthly,0.50%,N/A,0.08,49.63%,0.52%,0.76%,0.78%,iShares,515,8.38%,11.22%,26.64%,39%,20%,1099,$25.51,$25.56,$25.56,$25.58,63.27,B+,A-,B-,A,A-,B,B+,6.3,81.41%,63.89%,181.53,8.75%,3.04%
PSK,SPDR Wells Fargo Preferred Stock ETF,Preferred Stock,"$1,418,110,000","188,715",$44.41,false,false,false,false,0.57%,1.79%,6.36%,6.36%,19.38%,31.10%,$4.408953,$88.185935,$0.0,$366.260598,$838.847451,"$1,090.682309",Preferred Stock/Convertible Bonds,2009-09-16,0.45%,$2.26,2020-12-18,$0.26,5.10%,Monthly,2.19%,N/A,0.30,184.34%,3.25%,6.17%,5.78%,State Street SPDR,161,16.30%,22.14%,52.04%,35%,15%,1099,$43.61,$44.34,$44.25,$44.49,67.61,A-,A-,B,A-,A,A-,A,5.83,50.51%,48.93%,295.07,6.47%,0.94%
QDF,FlexShares Quality Dividend Index Fund,Equity,"$1,416,920,000","49,352",$49.44,false,false,true,false,0.65%,2.96%,4.85%,4.85%,21.30%,64.93%,$2.455665,-$7.377015,$0.0,-$334.381205,-$611.480685,$197.230359,Large Cap Growth Equities,2012-12-14,0.37%,$1.18,2020-12-18,$0.31,2.39%,Quarterly,4.04%,25.15,1.01,241.91%,7.88%,15.06%,16.27%,FlexShares,132,32.55%,40.78%,68.11%,35%,15%,1099,$47.99,$49.58,$49.18,$49.60,65.17,B+,B,B-,B-,B+,A,B,5.67,34.12%,44.19%,238.92,7.03%,4.67%
IYF,iShares U.S. Financials ETF,Equity,"$1,408,640,000","258,966",$66.77,false,false,false,false,2.08%,3.22%,-1.27%,-1.27%,17.96%,63.42%,-$29.61306,$22.37348,$0.0,-$235.773375,-$623.747925,-$750.33201,Financials Equities,2000-05-31,0.42%,$1.73,2020-12-14,$0.26,2.62%,Quarterly,6.42%,14.36,1.10,305.07%,11.29%,23.11%,21.09%,iShares,233,40.23%,47.44%,73.97%,35%,15%,1099,$63.91,$66.29,$66.13,$67.14,65.31,A,B+,B+,B+,A-,C,A,5.81,25.74%,48.18%,52.21,8.62%,2.69%
FLQL,Franklin LibertyQ U.S. Equity ETF,Equity,"$1,477,500,000","108,795",$37.89,false,false,true,false,1.12%,1.89%,10.66%,10.66%,38.86%,N/A,$0.0,-$3.655,$0.0,$2.5975,"$1,112.4415","$1,210.9455",Large Cap Growth Equities,2017-04-26,0.15%,$0.76,2020-12-14,$0.24,2.03%,Annually,2.99%,26.26,0.90,226.64%,8.13%,14.40%,15.33%,Franklin Templeton Investments,257,10.60%,15.71%,49.45%,39%,20%,1099,$37.11,$37.82,$37.62,$38.03,63.17,A-,A-,B-,B,A,A,N/A,5.71,70.60%,45.20%,222.84,9.02%,6.72%
SCHK,Schwab 1000 Index ETF,Equity,"$1,394,230,000","187,405",$37.39,false,false,false,false,1.08%,2.82%,20.73%,20.73%,50.49%,N/A,$7.426,$40.521,$0.0,$247.255,$840.13989,"$1,033.079673",Large Cap Growth Equities,2017-10-11,0.05%,$0.59,2020-12-10,$0.15,1.58%,Quarterly,3.42%,26.72,1.03,87.43%,7.81%,15.81%,17.62%,Charles Schwab,991,24.35%,29.11%,48.16%,39%,20%,1099,$36.23,$37.41,$37.21,$37.51,67.49,A-,A,B-,B,A,A-,N/A,5.06,32.59%,31.31%,139.8,6.50%,5.38%
QLTA,iShares Aaa - A Rated Corporate Bond ETF,Bond,"$1,394,620,000","213,623",$58.52,false,false,false,false,0.21%,0.32%,9.62%,9.62%,20.56%,30.84%,-$17.49534,-$17.46928,$0.0,$869.921385,"$1,178.59446","$1,223.709273",Corporate Bonds,2012-02-14,0.15%,$1.35,2020-12-17,$0.10,2.31%,Monthly,1.99%,N/A,0.08,69.91%,2.90%,4.76%,4.86%,iShares,"2,239",2.91%,3.77%,8.88%,35%,15%,1099,$57.96,$58.52,$58.48,$58.56,60.16,A-,B,A,B-,A-,B-,A-,6.27,79.55%,62.96%,227.09,7.02%,1.55%
EMQQ,Emerging Markets Internet & Ecommerce ETF,Equity,"$1,450,440,000","288,269",$63.58,false,false,false,false,3.74%,4.95%,80.43%,80.43%,69.50%,174.76%,$0.010204,$86.964833,$0.0,$611.111434,$669.081676,"$1,000.699812",Foreign Large Cap Equities,2014-11-12,0.86%,$0.11,2020-12-28,$0.11,0.18%,Annually,10.08%,38.01,1.06,147.61%,24.86%,31.32%,28.00%,Exchange Traded Concepts,98,57.51%,72.42%,96.35%,35%,15%,1099,$60.02,$63.86,$63.03,$64.34,59.29,A-,C,A+,B,B,C,C+,4.32,26.08%,15.96%,11.53,0.00%,1.04%
DLS,WisdomTree International SmallCap Dividend,Equity,"$1,386,750,000","73,992",$68.11,false,false,true,false,0.86%,3.58%,-1.29%,-1.29%,-2.23%,36.67%,$0.0,-$39.74868,$0.0,-$244.151025,-$205.445395,$182.944815,Foreign Small & Mid Cap Equities,2006-06-16,0.58%,$2.34,2020-12-21,$0.46,3.41%,Quarterly,6.73%,12.8,0.99,229.64%,9.35%,16.03%,15.15%,WisdomTree,829,8.43%,11.66%,27.42%,35%,15%,1099,$64.85,$68.57,$67.90,$68.29,68.17,A-,B,A+,B,A,A-,B+,6.0,15.45%,54.10%,322.92,4.16%,6.98%
IBDO,iShares iBonds Dec 2023 Corporate ETF,Bond,"$1,375,660,000","155,294",$26.27,false,false,false,false,0.15%,0.24%,5.36%,5.36%,14.21%,23.86%,$0.0,$32.727275,$0.0,$378.13312,"$1,060.444085","$1,302.66951",Corporate Bonds,2015-03-11,0.10%,$0.65,2020-12-17,$0.05,2.46%,Monthly,0.68%,N/A,0.09,59.17%,0.68%,0.85%,1.39%,iShares,536,8.33%,10.98%,26.02%,39%,20%,1099,$26.16,$26.26,N/A,N/A,71.33,B+,A-,B,B+,A-,B+,B,6.2,73.61%,60.63%,195.83,7.77%,3.23%
TILT,FlexShares Morningstar US Market Factor Tilt Index Fund,Equity,"$1,378,680,000","13,858",$144.74,false,false,true,false,0.63%,3.19%,16.04%,16.04%,36.33%,86.67%,$0.0,$0.0,$0.0,-$278.21466,-$156.93746,$52.026505,All Cap Equities,2011-09-16,0.25%,$2.16,2020-12-18,$0.68,1.49%,Quarterly,14.18%,30.43,1.15,232.93%,9.12%,17.96%,18.27%,FlexShares,"2,111",16.94%,20.39%,34.88%,35%,15%,1099,$140.56,$145.07,$144.29,$145.05,66.76,A-,A-,A-,B+,A,B+,A,4.9,23.81%,28.88%,145.3,6.85%,4.68%
FDL,First Trust Morningstar Dividend Leaders,Equity,"$1,381,680,000","277,128",$29.59,false,false,true,false,0.78%,0.73%,-4.31%,-4.31%,11.91%,49.93%,$0.0,$4.53095,$0.0,-$214.81735,-$227.83065,$264.42415,Large Cap Value Equities,2006-03-15,0.45%,$1.33,2020-12-24,$0.37,4.53%,Quarterly,2.71%,18.35,0.92,268.90%,10.76%,20.82%,18.23%,First Trust,96,59.74%,71.47%,94.52%,35%,15%,1099,$29.06,$30.07,$29.31,$29.74,59.36,A,B,A-,B+,A-,A,C+,4.89,9.12%,28.70%,407.5,21.04%,0.77%
SQQQ,ProShares UltraPro Short QQQ,Equity,"$1,385,700,000","59,761,176",$15.18,true,3x,false,false,-4.11%,-9.91%,-86.40%,-86.40%,-96.30%,-98.90%,$39.17697,$68.851085,$0.0,"$2,947.546116","$4,819.701951","$5,619.532688",Leveraged Equities,2010-02-09,0.95%,$0.17,2020-03-25,$0.07,1.13%,Quarterly,35.34%,N/A,-2.41,174.72%,31.98%,62.52%,74.13%,ProShares,25,81.79%,90.14%,100.00%,35%,15%,1099,$14.94,$17.48,$15.05,$15.40,34.16,A,B,B+,B-,A-,A-,B+,6.58,65.38%,72.24%,0.0,0.00%,0.00%
ICVT,iShares Convertible Bond ETF,Bond,"$1,346,910,000","186,398",$96.55,false,false,false,false,-0.09%,6.56%,61.00%,61.00%,93.86%,141.10%,$9.51881,$179.88693,$0.0,$548.42832,$592.917275,$914.08607,Preferred Stock/Convertible Bonds,2015-06-02,0.20%,$3.84,2020-12-17,$0.30,3.99%,Monthly,12.27%,N/A,0.92,89.47%,14.56%,18.21%,19.74%,iShares,262,28.46%,32.86%,53.30%,39%,20%,1099,$90.47,$98.32,$96.18,$96.98,70.23,B,A+,A+,C,B,C+,C+,4.32,9.68%,15.96%,95.69,2.37%,17.18%
HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,Bond,"$1,361,890,000","145,065",$58.99,false,false,false,false,0.49%,1.73%,3.73%,3.73%,19.18%,23.71%,$23.465951,$58.479734,$0.0,$330.09328,$766.555281,$911.98988,National Munis,2011-04-13,0.35%,$2.10,2020-12-18,$0.17,3.57%,Monthly,2.92%,N/A,0.10,228.97%,1.59%,2.43%,2.91%,State Street SPDR,"1,529",13.60%,16.46%,29.05%,35%,15%,1099,$58.00,$59.07,$58.93,$59.03,86.96,A-,C+,A-,B-,B+,A,B,N/A,N/A,N/A,N/A,N/A,N/A
